ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
20900106286,heratmdj,,,The Bull's Head,,,,,,unclassified road,,,,opp,,W,E0053213,Craswall,,,Craswall,,,,true,UKOS,327824,235998,-3.053180424,52.017699799,BCT,CUS,PPT,,,,023,2013-06-07T15:26:00,2023-06-16T16:48:37,6,revise,inactive
20900106296,heratmga,,,The Beeches,,,,Love Lane,,Duke Street,,,,adj,,NE,E0053270,Kington,,,Kington,,,,false,UKOS,329952,256763,-3.026453491,52.204627555,BCT,CUS,PPT,,,,023,2013-07-22T11:35:00,2013-07-22T11:35:00,0,new,active
20900106298,heratmgd,,,Ye Olde Tavern,,,,Elizabeth Street,,Victoria Road,,,,adj,,NE,E0053270,Kington,,,Kington,,,,false,UKOS,330207,256888,-3.022748389,52.205783599,BCT,CUS,PPT,,,,023,2013-07-22T12:20:00,2014-09-24T14:33:47,1,revise,active
20900106306,heratmgt,,,Wye Leisure,,,,Wye Leisure,,B4224,,,,opp,,SE,E0053241,Fownhope,,,Fownhope,,,,false,UKOS,357840,234521,-2.615628378,52.007519039,BCT,MKD,OTH,,,,023,2014-07-07T12:38:00,2014-07-07T12:38:00,0,new,active
20900106310,heratmjd,,,Nupend Farm,,,,Nupend Farm,,Woolhope Road,,,,adj,,E,E0053395,Woolhope,,,Woolhope,,,,false,UKOS,358210,235185,-2.610319385,52.013516725,BCT,CUS,OTH,,,,023,2014-08-18T11:20:00,2020-11-09T12:09:52,1,revise,active
2090016034,heratdmp,,,Grove Cottages,,,,Grove Farm,,A466,,,,opp,,N,E0038620,Wormelow,,,King's Thorn,,,,false,UKOS,349455,231512,-2.737335045,51.979765792,BCT,CUS,OTH,,,,023,2006-11-27T13:06:00,2010-06-08T10:56:00,3,revise,active
2090068403,heradada,,,Telephone Exchange,,,,Telephone Exchange,,A465,,,,opp,,NE,E0037995,Burley Gate,,,Burley Gate,,,,true,UKOS,359569,247229,-2.591948630,52.121897603,BCT,CUS,PPT,,,,023,2005-04-07T00:00:00,2020-05-15T14:16:44,3,revise,active
2090106384,heratpdp,,,Vinery Corner,,,,Vinery Corner,,Village Street,,,,opp,,W,E0053379,Wellington,,,Wellington,,,,false,,348842,248117,-2.748742561,52.128975775,BCT,CUS,OTH,,,,023,2019-07-29T14:56:40,2019-07-29T14:53:42,,new,active
2090A010144,heratgpw,,,Horse Road,,,,,,Ledbury Road,,,,opp,,N,E0053380,Wellington Heath,,,Wellington Heath,,,,false,UKOS,370863,239949,-2.426366939,52.057158989,BCT,MKD,OTH,,,,023,2009-06-11T15:04:00,2009-06-22T15:33:00,2,revise,active
2090A010252,heratjtd,,,Little Hastings Crossroads,,,,Preston Wynne Turn,,A465,,,,NE-bound,,NE,E0053337,Preston Wynne,,,,,,,false,UKOS,356314,245572,-2.639275860,52.106752592,BCT,CUS,OTH,,,,023,2011-11-16T15:21:00,2011-11-16T15:23:00,1,revise,active
2090A010260,heratjtw,,,Bircher Turn,,,,B4362 junction,,unclassified road,,,,NW-bound,,NW,E0037939,Bircher,,,Bircher,,,,false,UKOS,347840,265315,-2.766041598,52.283494460,BCT,CUS,OTH,,,,023,2011-11-16T15:39:00,2011-11-16T15:39:00,0,new,active
